,snapshots,Mx,My,Mz,eps_x,eps_y,eps_z
59,59.0,8.113575695806494,2.0874733586298158,23.198524683640915,1.8280883342062144,1.287867234290227,3.458260192675371
60,60.0,8.330200289626578,1.870848764809743,23.55300129171012,1.8519599228106536,1.307919676976377,3.4547285852246836
61,61.0,8.389279724304767,1.6936104607751363,23.533308146817394,1.8723057631133493,1.3305645674788367,3.449622466354605
62,62.0,8.743756332373994,1.6345310260969348,23.493921857031914,1.8825600333093822,1.3529960142236193,3.442602349993451
63,63.0,8.664983752803064,1.5163721567405273,23.395456132568256,1.8934530804626513,1.376628236679248,3.4324682717540873
64,64.0,8.861915201730405,1.2800544180277087,23.04097952449905,1.8992547326825189,1.404389894344991,3.4143546444278448
65,65.0,8.586211173232106,1.16189554867131,22.725889206215317,1.9098472579906607,1.4332890503852878,3.390790213875832
66,66.0,8.743756332373996,1.024043534422182,22.568344047073428,1.9162500286816706,1.463833306559584,3.365259640266823
67,67.0,8.822528911944946,0.8271120854948146,22.391105743038814,1.920435744429717,1.4976148532540816,3.337959654306764
68,68.0,9.098232940443205,0.7089532161384182,22.312333163467855,1.919510245757193,1.5324599211218117,3.3103669581114805
69,69.0,9.472402693405142,0.7680326508166153,22.13509485943327,1.913428934341556,1.5635539414722235,3.281685189979835
70,70.0,9.964731315723501,0.649873781460223,21.82000454114953,1.903014071674911,1.5957826785825266,3.251434544291779
71,71.0,10.122276474865394,0.787725795709372,21.544300512651255,1.8919216731835835,1.622528418143124,3.2207563596331252
72,72.0,10.279821634007277,0.7286463610311639,21.426141643294837,1.8804305463681927,1.6490295534399497,3.190593629002809
73,73.0,10.614605097183754,0.9452709548512476,20.894426731191015,1.868554173077262,1.6689073521581657,3.161346829033497
74,74.0,10.417673648256411,1.043736679314907,20.638415847585474,1.8572714750233752,1.6854292296171836,3.1337568908906013
75,75.0,10.732763966540142,1.240668128242253,20.638415847585485,1.8460026342867102,1.6970589395706135,3.1068611126613592
76,76.0,11.18570629907305,1.3785201424913849,20.539950123121788,1.8360508440469903,1.705454753802601,3.0810966400371016
77,77.0,11.618955486713203,1.536065301633267,20.638415847585467,1.8288179287457997,1.710704047205291,3.0555016990537127
