,snapshots,dMx,dMy,dMz,eps_from_dMx,eps_from_dMy,eps_from_dMz
30,30.0,1.7723830403461047,-0.5120217672111007,0.9255778099585079,1.4413947640468197,1.0481136006380771,1.4162720432331677
31,31.0,1.8117693301315665,-0.4726354774256136,1.55575844652601,1.4860206928879223,1.0500643957336195,1.4795665821662993
32,32.0,1.7526898954533596,-0.31509031828373324,2.166245938200756,1.5219066206119787,1.0502173817949696,1.5691378004409293
33,33.0,2.0480870688443904,-0.039386289785459105,2.8161197196610033,1.56568681219154,1.0489040429094034,1.6895164224617223
34,34.0,2.3237910973426548,-0.03938628978546621,3.1509031828374816,1.6164086975130805,1.047656668107607,1.818684844811505
35,35.0,2.42225682180632,0.13785201424914373,3.328141486872074,1.665305750612002,1.0463548917027392,1.9450507113547848
36,36.0,2.264711662664457,0.2363177387128239,3.4069140664430257,1.701192904884249,1.0452844571006161,2.0621325807609976
37,37.0,2.107166503522574,0.4726354774256363,3.4266072113357424,1.7262931220943911,1.045269368045834,2.1670359086851834
38,38.0,1.693610460775167,0.3938628978546852,3.8992426887613725,1.7344970073260346,1.0447824659150677,2.291220497696676
39,39.0,1.2603612731350022,0.4332491876401443,4.096174137688724,1.7304129290314736,1.0444723343629159,2.4150839535420525
40,40.0,0.9058846650657983,0.37416975296196053,4.450650745757944,1.7197007286328883,1.043883530565334,2.5498992286116793
41,41.0,0.5711012018893253,0.35447660806923587,4.706661629363509,1.7053193059487455,1.0432298789543413,2.6883723023931867
42,42.0,0.7483395059239282,0.1378520142491393,4.903593078290832,1.6932342973648435,1.042224991829583,2.8262451684984935
43,43.0,0.39386289785467987,-0.019693144892702463,5.336842265931001,1.6786130592029318,1.0414237221685854,2.980908374891111
44,44.0,0.39386289785471007,-0.35447660806919323,5.356535410823714,1.6645923700771146,1.0421025439027545,3.121577025626164
45,45.0,0.15754515914188083,-0.7089532161384047,5.080831382325442,1.6502900432556729,1.0457887616238244,3.229938594678253
46,46.0,-0.1772383040345744,-0.9649640997439395,4.864206788505374,1.6366965590624676,1.0522962945224803,3.314152648196885
47,47.0,-0.8074189406020711,-1.260361273134964,4.529423325328882,1.6277665393166356,1.0627801702394672,3.3712592040314617
48,48.0,-1.2406681282422163,-1.5557584465259802,4.490037035543416,1.6246296759869907,1.0778399826263412,3.419858116155963
49,49.0,-1.417906432276844,-1.7723830403460639,4.293105586616072,1.6241045543375923,1.0961900153687285,3.453560278666045
50,50.0,-1.8905419097024687,-2.0087007790588634,4.25371929683061,1.6323517339126314,1.118456333856991,3.4810812033607617
51,51.0,-2.126859648415273,-2.1268596484152473,4.273412441723327,1.6449310620868256,1.1418008340050778,3.5055076198955564
52,52.0,-1.9102350545952085,-2.2253253728789404,4.273412441723313,1.65131597733258,1.165722734727908,3.5263414020839545
53,53.0,-2.323791097342621,-2.3237910973426166,4.037094703010531,1.6661046965529613,1.1902214463159473,3.535134591390679
54,54.0,-2.4222568218062897,-2.1465527933080124,3.781083819404973,1.6818167892575397,1.2087103523432272,3.533150133186255
55,55.0,-2.5798019809481527,-2.0480870688443384,3.564459225584905,1.6999497238183774,1.223702960889302,3.5233384592548145
56,56.0,-2.8948922992319197,-2.107166503522544,3.2296757624084194,1.7248534618224198,1.2387085925370513,3.504180875010098
57,57.0,-3.288755197086598,-2.185939083093487,3.2296757624084087,1.7593346407572512,1.254138532782839,3.484832912482912
58,58.0,-3.4266072113357424,-2.3237910973426295,3.4463003562284698,1.795420924599708,1.271228876811404,3.47033919131395
59,59.0,-3.406914066443006,-2.3631773871281085,3.5644592255848906,1.8280883342062286,1.287867234290222,3.458260192675235
60,60.0,-3.190289472622922,-2.579801980948181,3.9189358336540963,1.8519599228106687,1.3079196769763723,3.4547285852245944
61,61.0,-3.131210037944733,-2.757040284982788,3.899242688761369,1.8723057631133664,1.3305645674788316,3.449622466354555
62,62.0,-2.776733429875506,-2.8161197196609895,3.8598563989758894,1.882560033309402,1.352996014223616,3.4426023499933778
63,63.0,-2.8555060094464366,-2.934278589017397,3.7613906745122314,1.8934530804626668,1.376628236679244,3.4324682717540287
64,64.0,-2.658574560519096,-3.1705963277302156,3.4069140664430257,1.8992547326825355,1.4043898943449864,3.4143546444278225
65,65.0,-2.934278589017394,-3.2887551970866142,3.0918237481592925,1.909847257990677,1.433289050385284,3.390790213875794
66,66.0,-2.776733429875504,-3.4266072113357424,2.934278589017403,1.9162500286816875,1.4638333065595799,3.365259640266758
67,67.0,-2.697960850304554,-3.62353866026311,2.7570402849827893,1.9204357444297422,1.4976148532540772,3.3379596543067125
68,68.0,-2.422256821806295,-3.741697529619506,2.6782677054118302,1.9195102457572069,1.532459921121807,3.3103669581114277
69,69.0,-2.0480870688443584,-3.6826180949413088,2.501029401377245,1.9134289343415731,1.5635539414722188,3.2816851899798225
70,70.0,-1.5557584465259993,-3.800776964297701,2.185939083093505,1.9030140716749262,1.5957826785825229,3.2514345442917323
71,71.0,-1.398213287384106,-3.662924950048552,1.9102350545952298,1.8919216731836044,1.6225284181431197,3.220756359633068
72,72.0,-1.2406681282422234,-3.7220043847267603,1.7920761852388125,1.880430546368208,1.649029553439945,3.190593629002774
73,73.0,-0.9058846650657468,-3.5053797909066766,1.2603612731349898,1.8685541730772748,1.6689073521581617,3.161346829033474
74,74.0,-1.1028161139930894,-3.4069140664430173,1.0043503895294492,1.8572714750233845,1.6854292296171793,3.1337568908905933
75,75.0,-0.787725795709358,-3.2099826175156716,1.0043503895294599,1.8460026342867217,1.697058939570609,3.1068611126613357
76,76.0,-0.3347834631764499,-3.0721306032665394,0.9058846650657628,1.836050844047007,1.7054547538025973,3.0810966400370328
77,77.0,0.09846572446370239,-2.9145854441246573,1.0043503895294421,1.828817928745818,1.7107040472052861,3.0555016990536252
78,78.0,0.4332491876402109,-2.9539717339101275,1.2012818384567865,1.8245710056232656,1.7160517252876257,3.029879123227536
79,79.0,1.2406681282422891,-3.0524374583737957,1.5360653016332648,1.8306791455146758,1.7223995236562537,3.004507698486082
80,80.0,1.5754515914187497,-3.091823748159264,1.5557584465259957,1.8419131885413091,1.72881893872834,2.979767640119717
81,81.0,1.9693144892734509,-3.111516893051972,1.4375995771695926,1.859965454637257,1.7350100931813013,2.955646455210731
82,82.0,2.2450185177717223,-3.209982617515661,1.5557584465259993,1.882801589121241,1.742190582945601,2.932091366028404
83,83.0,2.461643111591801,-3.170596327730207,1.575451591418748,1.909229865532775,1.748229493945868,2.909104621613078
84,84.0,2.697960850304602,-3.288755197086602,1.9890076341661533,1.9398092164417378,1.755553466655158,2.8874777435403147
85,85.0,3.209982617515694,-3.249368907301142,1.9890076341661604,1.9820437907008648,1.7617479552570998,2.8663346652319723
86,86.0,3.7023112398340565,-3.1902894726229487,2.304097952449869,2.0363855356657057,1.7666180049530225,2.8470737339542684
87,87.0,4.470343890650703,-3.367527776657534,2.4813362564845,2.113242684632798,1.7736142773184236,2.8292883352298843
88,88.0,4.942979368076344,-3.288755197086627,2.264711662664439,2.2036363564869923,1.7789724782070535,2.8105642063106107
89,89.0,5.553466859751083,-3.2296757624083936,2.4813362564845036,2.313826217468673,1.7831009987738597,2.7934570092113913
90,90.0,5.7307051637857,-3.1902894726229363,2.1859390830935013,2.426221050412916,1.7863513412334202,2.7750878836340074
91,91.0,5.967022902498488,-3.01305116858834,1.8117693301315576,2.543317065223275,1.787163606144866,2.755992845606647
92,92.0,6.06548862696215,-2.8358128645537226,1.7133036056678854,2.6592098772526205,1.7859033246760276,2.737177891679623
93,93.0,6.183647496318553,-2.6585745605190967,1.811769330131554,2.7747912815856344,1.7829106563445398,2.718885847529301
94,94.0,6.479044669709573,-2.441949966699024,1.792076185238816,2.897666795267991,1.7782267280935304,2.7009456220553205
95,95.0,6.8532144226715275,-2.363177387128094,1.693610460775158,3.0313899647747866,1.7730578489327073,2.683270354179706
96,96.0,7.1289184511698025,-2.3237910973426104,1.575451591418755,3.171584504285918,1.7677012164459986,2.665917130193551
97,97.0,7.601553928595454,-1.9496213443806747,1.4375995771696246,3.327554004513913,1.7607161393164656,2.648983392823473
98,98.0,7.857564812200991,-1.693610460775127,1.5163721567405517,3.4890188400527964,1.7532353122255664,2.6323394122484505
99,99.0,8.015109971342866,-1.3982132873841189,1.378520142491407,3.6511590542973678,1.7457093774106527,2.616141573764411
100,100.0,7.936337391771936,-1.2209749833495365,1.2800544180277456,3.802693670441192,1.7384796518424295,2.600413608813609
101,101.0,7.778792232630064,-1.1815886935640698,1.3194407078132073,3.9406092656658345,1.731446923245024,2.58492221112854
102,102.0,7.719712797951839,-0.9452709548512361,1.575451591418748,4.07005905172096,1.7250882268606245,2.5695346824832113
103,103.0,7.8772579570937005,-0.7877257957093544,1.9102350545952156,4.200877693326772,1.7193785235907402,2.5547917388594703
104,104.0,8.093882550913786,-0.5711012018892787,2.185939083093487,4.335685516385098,1.7147254684932451,2.5411069042947503
105,105.0,8.369586579412061,-0.45294233253288674,2.5404156911626963,4.477133401487341,1.7107560064815563,2.5293091818547593
106,106.0,8.586211173232144,-0.17723830403459573,2.757040284982768,4.622511421234941,1.708586566287536,2.519032792634939
107,107.0,8.901301491515909,-0.33478346317647567,2.6191882707336482,4.776377986346059,1.7053253071675738,2.507997925189326
108,108.0,8.724063187481278,0.0787725795709564,2.441949966699056,4.915968581656873,1.7050773674505995,2.496166626615046
109,109.0,8.487745448768454,0.23631773871283013,2.3434842422353555,5.03962756173105,1.7061050298838663,2.484076793221423
110,110.0,8.369586579412061,0.15754515914187017,2.185939083093505,5.153297685655976,1.7062848809770457,2.471604370001331
111,111.0,7.995416826450128,0.01969314489273355,1.9299281994879784,5.2475054130479135,1.7052323053743312,2.4587203861413194
112,112.0,7.956030536664656,-0.09846572446366508,1.9299281994879678,5.3362595968797075,1.7032525881696847,2.4460599580802738
113,113.0,7.837871667308249,-0.1378520142491393,1.4966790118478208,5.416939702311647,1.700970973550806,2.433427361275938
